Date,Month,Year,Quarter,DayOfWeek,IsHoliday,Day
2019-03-25,March,2019,Q1,Monday,0,25
2019-03-26,March,2019,Q1,Tuesday,0,26
2019-03-27,March,2019,Q1,Wednesday,0,27
2019-03-28,March,2019,Q1,Thursday,0,28
2019-03-29,March,2019,Q1,Friday,0,29
2019-03-30,March,2019,Q1,Saturday,0,30
2019-03-31,March,2019,Q1,Sunday,0,31
2019-04-01,April,2019,Q2,Monday,0,1
2019-04-02,April,2019,Q2,Tuesday,0,2
2019-04-03,April,2019,Q2,Wednesday,0,3
2019-04-04,April,2019,Q2,Thursday,0,4
2019-04-05,April,2019,Q2,Friday,0,5
2019-04-06,April,2019,Q2,Saturday,0,6
2019-04-07,April,2019,Q2,Sunday,0,7
2019-04-08,April,2019,Q2,Monday,0,8
2019-04-09,April,2019,Q2,Tuesday,0,9
2019-04-10,April,2019,Q2,Wednesday,0,10
2019-04-11,April,2019,Q2,Thursday,0,11
2019-04-12,April,2019,Q2,Friday,0,12
2019-04-13,April,2019,Q2,Saturday,0,13
2019-04-14,April,2019,Q2,Sunday,1,14
2019-04-15,April,2019,Q2,Monday,0,15
2019-04-16,April,2019,Q2,Tuesday,0,16
2019-04-17,April,2019,Q2,Wednesday,0,17
2019-04-18,April,2019,Q2,Thursday,0,18
2019-04-19,April,2019,Q2,Friday,0,19
2019-04-20,April,2019,Q2,Saturday,0,20
2019-04-21,April,2019,Q2,Sunday,1,21
2019-04-22,April,2019,Q2,Monday,0,22
2019-04-23,April,2019,Q2,Tuesday,0,23
2019-04-24,April,2019,Q2,Wednesday,0,24
2019-04-25,April,2019,Q2,Thursday,0,25
2019-04-26,April,2019,Q2,Friday,0,26
2019-04-27,April,2019,Q2,Saturday,0,27
2019-04-28,April,2019,Q2,Sunday,0,28
2019-04-29,April,2019,Q2,Monday,0,29
2019-04-30,April,2019,Q2,Tuesday,0,30
2019-05-01,May,2019,Q2,Wednesday,1,1
2019-05-02,May,2019,Q2,Thursday,0,2
2019-05-03,May,2019,Q2,Friday,0,3
2019-05-04,May,2019,Q2,Saturday,0,4
2019-05-05,May,2019,Q2,Sunday,0,5
2019-05-06,May,2019,Q2,Monday,0,6
2019-05-07,May,2019,Q2,Tuesday,0,7
2019-05-08,May,2019,Q2,Wednesday,0,8
2019-05-09,May,2019,Q2,Thursday,0,9
2019-05-10,May,2019,Q2,Friday,0,10
2019-05-11,May,2019,Q2,Saturday,0,11
2019-05-12,May,2019,Q2,Sunday,0,12
2019-05-13,May,2019,Q2,Monday,0,13
2019-05-14,May,2019,Q2,Tuesday,0,14
2019-05-15,May,2019,Q2,Wednesday,0,15
2019-05-16,May,2019,Q2,Thursday,0,16
2019-05-17,May,2019,Q2,Friday,0,17
2019-05-18,May,2019,Q2,Saturday,0,18
2019-05-19,May,2019,Q2,Sunday,0,19
2019-05-20,May,2019,Q2,Monday,0,20
2019-05-21,May,2019,Q2,Tuesday,0,21
2019-05-22,May,2019,Q2,Wednesday,0,22
2019-05-23,May,2019,Q2,Thursday,0,23
2019-05-24,May,2019,Q2,Friday,0,24
2019-05-25,May,2019,Q2,Saturday,0,25
2019-05-26,May,2019,Q2,Sunday,0,26
2019-05-27,May,2019,Q2,Monday,0,27
2019-05-28,May,2019,Q2,Tuesday,0,28
2019-05-29,May,2019,Q2,Wednesday,0,29
2019-05-30,May,2019,Q2,Thursday,0,30
2019-05-31,May,2019,Q2,Friday,0,31
2019-06-01,June,2019,Q2,Saturday,0,1
2019-06-02,June,2019,Q2,Sunday,1,2
2019-06-03,June,2019,Q2,Monday,0,3
2019-06-04,June,2019,Q2,Tuesday,0,4
2019-06-05,June,2019,Q2,Wednesday,0,5
2019-06-06,June,2019,Q2,Thursday,0,6
2019-06-07,June,2019,Q2,Friday,0,7
2019-06-08,June,2019,Q2,Saturday,0,8
2019-06-09,June,2019,Q2,Sunday,0,9
2019-06-10,June,2019,Q2,Monday,0,10
2019-06-11,June,2019,Q2,Tuesday,0,11
2019-06-12,June,2019,Q2,Wednesday,0,12
2019-06-13,June,2019,Q2,Thursday,0,13
2019-06-14,June,2019,Q2,Friday,0,14
2019-06-15,June,2019,Q2,Saturday,0,15
2019-06-16,June,2019,Q2,Sunday,0,16
2019-06-17,June,2019,Q2,Monday,0,17
2019-06-18,June,2019,Q2,Tuesday,0,18
2019-06-19,June,2019,Q2,Wednesday,0,19
2019-06-20,June,2019,Q2,Thursday,0,20
2019-06-21,June,2019,Q2,Friday,0,21
2019-06-22,June,2019,Q2,Saturday,0,22
2019-06-23,June,2019,Q2,Sunday,0,23
2019-06-24,June,2019,Q2,Monday,0,24
2019-06-25,June,2019,Q2,Tuesday,0,25
2019-06-26,June,2019,Q2,Wednesday,0,26
2019-06-27,June,2019,Q2,Thursday,0,27
2019-06-28,June,2019,Q2,Friday,0,28
2019-06-29,June,2019,Q2,Saturday,0,29
2019-06-30,June,2019,Q2,Sunday,0,30
2019-07-01,July,2019,Q3,Monday,0,1
2019-07-02,July,2019,Q3,Tuesday,0,2
2019-07-03,July,2019,Q3,Wednesday,0,3
2019-07-04,July,2019,Q3,Thursday,0,4
2019-07-05,July,2019,Q3,Friday,0,5
2019-07-06,July,2019,Q3,Saturday,0,6
2019-07-07,July,2019,Q3,Sunday,0,7
2019-07-08,July,2019,Q3,Monday,0,8
2019-07-09,July,2019,Q3,Tuesday,0,9
2019-07-10,July,2019,Q3,Wednesday,0,10
2019-07-11,July,2019,Q3,Thursday,0,11
2019-07-12,July,2019,Q3,Friday,0,12
2019-07-13,July,2019,Q3,Saturday,0,13
2019-07-14,July,2019,Q3,Sunday,0,14
2019-07-15,July,2019,Q3,Monday,0,15
2019-07-16,July,2019,Q3,Tuesday,0,16
2019-07-17,July,2019,Q3,Wednesday,0,17
2019-07-18,July,2019,Q3,Thursday,0,18
2019-07-19,July,2019,Q3,Friday,0,19
2019-07-20,July,2019,Q3,Saturday,0,20
2019-07-21,July,2019,Q3,Sunday,0,21
2019-07-22,July,2019,Q3,Monday,0,22
2019-07-23,July,2019,Q3,Tuesday,0,23
2019-07-24,July,2019,Q3,Wednesday,0,24
2019-07-25,July,2019,Q3,Thursday,0,25
2019-07-26,July,2019,Q3,Friday,0,26
2019-07-27,July,2019,Q3,Saturday,0,27
2019-07-28,July,2019,Q3,Sunday,0,28
2019-07-29,July,2019,Q3,Monday,0,29
2019-07-30,July,2019,Q3,Tuesday,0,30
2019-07-31,July,2019,Q3,Wednesday,0,31
2019-08-01,August,2019,Q3,Thursday,0,1
2019-08-02,August,2019,Q3,Friday,0,2
2019-08-03,August,2019,Q3,Saturday,0,3
2019-08-04,August,2019,Q3,Sunday,0,4
2019-08-05,August,2019,Q3,Monday,0,5
2019-08-06,August,2019,Q3,Tuesday,0,6
2019-08-07,August,2019,Q3,Wednesday,0,7
2019-08-08,August,2019,Q3,Thursday,0,8
2019-08-09,August,2019,Q3,Friday,0,9
2019-08-10,August,2019,Q3,Saturday,0,10
2019-08-11,August,2019,Q3,Sunday,0,11
2019-08-12,August,2019,Q3,Monday,0,12
2019-08-13,August,2019,Q3,Tuesday,0,13
2019-08-14,August,2019,Q3,Wednesday,0,14
2019-08-15,August,2019,Q3,Thursday,1,15
2019-08-16,August,2019,Q3,Friday,0,16
2019-08-17,August,2019,Q3,Saturday,0,17
2019-08-18,August,2019,Q3,Sunday,0,18
2019-08-19,August,2019,Q3,Monday,0,19
2019-08-20,August,2019,Q3,Tuesday,0,20
2019-08-21,August,2019,Q3,Wednesday,0,21
2019-08-22,August,2019,Q3,Thursday,0,22
2019-08-23,August,2019,Q3,Friday,0,23
2019-08-24,August,2019,Q3,Saturday,0,24
2019-08-25,August,2019,Q3,Sunday,0,25
2019-08-26,August,2019,Q3,Monday,0,26
2019-08-27,August,2019,Q3,Tuesday,0,27
2019-08-28,August,2019,Q3,Wednesday,0,28
2019-08-29,August,2019,Q3,Thursday,0,29
2019-08-30,August,2019,Q3,Friday,0,30
2019-08-31,August,2019,Q3,Saturday,0,31
2019-09-01,September,2019,Q3,Sunday,0,1
2019-09-02,September,2019,Q3,Monday,0,2
2019-09-03,September,2019,Q3,Tuesday,0,3
2019-09-04,September,2019,Q3,Wednesday,0,4
2019-09-05,September,2019,Q3,Thursday,0,5
2019-09-06,September,2019,Q3,Friday,0,6
2019-09-07,September,2019,Q3,Saturday,0,7
2019-09-08,September,2019,Q3,Sunday,0,8
2019-09-09,September,2019,Q3,Monday,0,9
2019-09-10,September,2019,Q3,Tuesday,0,10
2019-09-11,September,2019,Q3,Wednesday,0,11
2019-09-12,September,2019,Q3,Thursday,0,12
2019-09-13,September,2019,Q3,Friday,0,13
2019-09-14,September,2019,Q3,Saturday,0,14
2019-09-15,September,2019,Q3,Sunday,0,15
2019-09-16,September,2019,Q3,Monday,0,16
2019-09-17,September,2019,Q3,Tuesday,0,17
2019-09-18,September,2019,Q3,Wednesday,0,18
2019-09-19,September,2019,Q3,Thursday,0,19
2019-09-20,September,2019,Q3,Friday,0,20
2019-09-21,September,2019,Q3,Saturday,0,21
2019-09-22,September,2019,Q3,Sunday,0,22
2019-09-23,September,2019,Q3,Monday,0,23
2019-09-24,September,2019,Q3,Tuesday,0,24
2019-09-25,September,2019,Q3,Wednesday,0,25
2019-09-26,September,2019,Q3,Thursday,0,26
2019-09-27,September,2019,Q3,Friday,0,27
2019-09-28,September,2019,Q3,Saturday,0,28
2019-09-29,September,2019,Q3,Sunday,0,29
2019-09-30,September,2019,Q3,Monday,0,30
2019-10-01,October,2019,Q4,Tuesday,0,1
2019-10-02,October,2019,Q4,Wednesday,1,2
2019-10-03,October,2019,Q4,Thursday,0,3
2019-10-04,October,2019,Q4,Friday,0,4
2019-10-05,October,2019,Q4,Saturday,0,5
2019-10-06,October,2019,Q4,Sunday,0,6
2019-10-07,October,2019,Q4,Monday,0,7
2019-10-08,October,2019,Q4,Tuesday,0,8
2019-10-09,October,2019,Q4,Wednesday,0,9
2019-10-10,October,2019,Q4,Thursday,0,10
2019-10-11,October,2019,Q4,Friday,0,11
2019-10-12,October,2019,Q4,Saturday,0,12
2019-10-13,October,2019,Q4,Sunday,0,13
2019-10-14,October,2019,Q4,Monday,0,14
2019-10-15,October,2019,Q4,Tuesday,0,15
2019-10-16,October,2019,Q4,Wednesday,0,16
2019-10-17,October,2019,Q4,Thursday,0,17
2019-10-18,October,2019,Q4,Friday,0,18
2019-10-19,October,2019,Q4,Saturday,0,19
2019-10-20,October,2019,Q4,Sunday,0,20
2019-10-21,October,2019,Q4,Monday,0,21
2019-10-22,October,2019,Q4,Tuesday,0,22
2019-10-23,October,2019,Q4,Wednesday,0,23
2019-10-24,October,2019,Q4,Thursday,0,24
2019-10-25,October,2019,Q4,Friday,0,25
2019-10-26,October,2019,Q4,Saturday,0,26
2019-10-27,October,2019,Q4,Sunday,0,27
2019-10-28,October,2019,Q4,Monday,0,28
2019-10-29,October,2019,Q4,Tuesday,0,29
2019-10-30,October,2019,Q4,Wednesday,0,30
2019-10-31,October,2019,Q4,Thursday,0,31
2019-11-01,November,2019,Q4,Friday,1,1
2019-11-02,November,2019,Q4,Saturday,0,2
2019-11-03,November,2019,Q4,Sunday,0,3
2019-11-04,November,2019,Q4,Monday,0,4
2019-11-05,November,2019,Q4,Tuesday,0,5
2019-11-06,November,2019,Q4,Wednesday,0,6
2019-11-07,November,2019,Q4,Thursday,0,7
2019-11-08,November,2019,Q4,Friday,0,8
2019-11-09,November,2019,Q4,Saturday,0,9
2019-11-10,November,2019,Q4,Sunday,0,10
2019-11-11,November,2019,Q4,Monday,0,11
2019-11-12,November,2019,Q4,Tuesday,0,12
2019-11-13,November,2019,Q4,Wednesday,0,13
2019-11-14,November,2019,Q4,Thursday,0,14
2019-11-15,November,2019,Q4,Friday,0,15
2019-11-16,November,2019,Q4,Saturday,0,16
2019-11-17,November,2019,Q4,Sunday,0,17
2019-11-18,November,2019,Q4,Monday,0,18
2019-11-19,November,2019,Q4,Tuesday,0,19
2019-11-20,November,2019,Q4,Wednesday,0,20
2019-11-21,November,2019,Q4,Thursday,0,21
2019-11-22,November,2019,Q4,Friday,0,22
2019-11-23,November,2019,Q4,Saturday,0,23
2019-11-24,November,2019,Q4,Sunday,0,24
2019-11-25,November,2019,Q4,Monday,0,25
2019-11-26,November,2019,Q4,Tuesday,0,26
2019-11-27,November,2019,Q4,Wednesday,0,27
2019-11-28,November,2019,Q4,Thursday,0,28
2019-11-29,November,2019,Q4,Friday,0,29
2019-11-30,November,2019,Q4,Saturday,0,30
2019-12-01,December,2019,Q4,Sunday,0,1
2019-12-02,December,2019,Q4,Monday,0,2
2019-12-03,December,2019,Q4,Tuesday,0,3
2019-12-04,December,2019,Q4,Wednesday,0,4
2019-12-05,December,2019,Q4,Thursday,0,5
2019-12-06,December,2019,Q4,Friday,0,6
2019-12-07,December,2019,Q4,Saturday,0,7
2019-12-08,December,2019,Q4,Sunday,0,8
2019-12-09,December,2019,Q4,Monday,0,9
2019-12-10,December,2019,Q4,Tuesday,0,10
2019-12-11,December,2019,Q4,Wednesday,0,11
2019-12-12,December,2019,Q4,Thursday,0,12
2019-12-13,December,2019,Q4,Friday,0,13
2019-12-14,December,2019,Q4,Saturday,0,14
2019-12-15,December,2019,Q4,Sunday,0,15
2019-12-16,December,2019,Q4,Monday,0,16
2019-12-17,December,2019,Q4,Tuesday,0,17
2019-12-18,December,2019,Q4,Wednesday,0,18
2019-12-19,December,2019,Q4,Thursday,0,19
2019-12-20,December,2019,Q4,Friday,0,20
2019-12-21,December,2019,Q4,Saturday,0,21
2019-12-22,December,2019,Q4,Sunday,0,22
2019-12-23,December,2019,Q4,Monday,0,23
2019-12-24,December,2019,Q4,Tuesday,0,24
2019-12-25,December,2019,Q4,Wednesday,1,25
2019-12-26,December,2019,Q4,Thursday,0,26
2019-12-27,December,2019,Q4,Friday,0,27
2019-12-28,December,2019,Q4,Saturday,0,28
2019-12-29,December,2019,Q4,Sunday,0,29
2019-12-30,December,2019,Q4,Monday,0,30
2019-12-31,December,2019,Q4,Tuesday,0,31
2020-01-01,January,2020,Q1,Wednesday,1,1
2020-01-02,January,2020,Q1,Thursday,0,2
2020-01-03,January,2020,Q1,Friday,0,3
2020-01-04,January,2020,Q1,Saturday,0,4
2020-01-05,January,2020,Q1,Sunday,0,5
2020-01-06,January,2020,Q1,Monday,0,6
2020-01-07,January,2020,Q1,Tuesday,0,7
2020-01-08,January,2020,Q1,Wednesday,0,8
2020-01-09,January,2020,Q1,Thursday,0,9
2020-01-10,January,2020,Q1,Friday,0,10
2020-01-11,January,2020,Q1,Saturday,0,11
2020-01-12,January,2020,Q1,Sunday,0,12
2020-01-13,January,2020,Q1,Monday,0,13
2020-01-14,January,2020,Q1,Tuesday,0,14
2020-01-15,January,2020,Q1,Wednesday,0,15
2020-01-16,January,2020,Q1,Thursday,0,16
2020-01-17,January,2020,Q1,Friday,0,17
2020-01-18,January,2020,Q1,Saturday,0,18
2020-01-19,January,2020,Q1,Sunday,0,19
2020-01-20,January,2020,Q1,Monday,0,20
2020-01-21,January,2020,Q1,Tuesday,0,21
2020-01-22,January,2020,Q1,Wednesday,0,22
2020-01-23,January,2020,Q1,Thursday,0,23
2020-01-24,January,2020,Q1,Friday,0,24
2020-01-25,January,2020,Q1,Saturday,0,25
2020-01-26,January,2020,Q1,Sunday,1,26
2020-01-27,January,2020,Q1,Monday,0,27
2020-01-28,January,2020,Q1,Tuesday,0,28
2020-01-29,January,2020,Q1,Wednesday,0,29
2020-01-30,January,2020,Q1,Thursday,0,30
2020-01-31,January,2020,Q1,Friday,0,31
2020-02-01,February,2020,Q1,Saturday,0,1
2020-02-02,February,2020,Q1,Sunday,0,2
2020-02-03,February,2020,Q1,Monday,0,3
2020-02-04,February,2020,Q1,Tuesday,0,4
2020-02-05,February,2020,Q1,Wednesday,0,5
2020-02-06,February,2020,Q1,Thursday,0,6
2020-02-07,February,2020,Q1,Friday,0,7
2020-02-08,February,2020,Q1,Saturday,0,8
2020-02-09,February,2020,Q1,Sunday,0,9
2020-02-10,February,2020,Q1,Monday,0,10
2020-02-11,February,2020,Q1,Tuesday,0,11
2020-02-12,February,2020,Q1,Wednesday,0,12
2020-02-13,February,2020,Q1,Thursday,0,13
2020-02-14,February,2020,Q1,Friday,0,14
2020-02-15,February,2020,Q1,Saturday,0,15
2020-02-16,February,2020,Q1,Sunday,0,16
2020-02-17,February,2020,Q1,Monday,0,17
2020-02-18,February,2020,Q1,Tuesday,0,18
2020-02-19,February,2020,Q1,Wednesday,0,19
2020-02-20,February,2020,Q1,Thursday,0,20
2020-02-21,February,2020,Q1,Friday,0,21
2020-02-22,February,2020,Q1,Saturday,0,22
2020-02-23,February,2020,Q1,Sunday,0,23
2020-02-24,February,2020,Q1,Monday,0,24
2020-02-25,February,2020,Q1,Tuesday,0,25
2020-02-26,February,2020,Q1,Wednesday,0,26
2020-02-27,February,2020,Q1,Thursday,0,27
2020-02-28,February,2020,Q1,Friday,0,28
2020-02-29,February,2020,Q1,Saturday,0,29
2020-03-01,March,2020,Q1,Sunday,0,1
2020-03-02,March,2020,Q1,Monday,0,2
2020-03-03,March,2020,Q1,Tuesday,0,3
2020-03-04,March,2020,Q1,Wednesday,0,4
2020-03-05,March,2020,Q1,Thursday,0,5
2020-03-06,March,2020,Q1,Friday,0,6
2020-03-07,March,2020,Q1,Saturday,0,7
2020-03-08,March,2020,Q1,Sunday,0,8
2020-03-09,March,2020,Q1,Monday,0,9
2020-03-10,March,2020,Q1,Tuesday,0,10
2020-03-11,March,2020,Q1,Wednesday,0,11
2020-03-12,March,2020,Q1,Thursday,0,12
2020-03-13,March,2020,Q1,Friday,0,13
2020-03-14,March,2020,Q1,Saturday,0,14
2020-03-15,March,2020,Q1,Sunday,0,15
2020-03-16,March,2020,Q1,Monday,0,16
2020-03-17,March,2020,Q1,Tuesday,0,17
2020-03-18,March,2020,Q1,Wednesday,1,18
2020-03-19,March,2020,Q1,Thursday,0,19
2020-03-20,March,2020,Q1,Friday,0,20
2020-03-21,March,2020,Q1,Saturday,0,21
2020-03-22,March,2020,Q1,Sunday,0,22
2020-03-23,March,2020,Q1,Monday,0,23
2020-03-24,March,2020,Q1,Tuesday,0,24
2020-03-25,March,2020,Q1,Wednesday,0,25
2020-03-26,March,2020,Q1,Thursday,0,26
2020-03-27,March,2020,Q1,Friday,0,27
2020-03-28,March,2020,Q1,Saturday,0,28
2020-03-29,March,2020,Q1,Sunday,0,29
2020-03-30,March,2020,Q1,Monday,0,30
2020-03-31,March,2020,Q1,Tuesday,0,31
2020-04-01,April,2020,Q2,Wednesday,0,1
2020-04-02,April,2020,Q2,Thursday,0,2
2020-04-03,April,2020,Q2,Friday,0,3
2020-04-04,April,2020,Q2,Saturday,0,4
2020-04-05,April,2020,Q2,Sunday,0,5
2020-04-06,April,2020,Q2,Monday,0,6
2020-04-07,April,2020,Q2,Tuesday,0,7
2020-04-08,April,2020,Q2,Wednesday,0,8
2020-04-09,April,2020,Q2,Thursday,0,9
2020-04-10,April,2020,Q2,Friday,0,10
2020-04-11,April,2020,Q2,Saturday,0,11
2020-04-12,April,2020,Q2,Sunday,0,12
2020-04-13,April,2020,Q2,Monday,0,13
2020-04-14,April,2020,Q2,Tuesday,1,14
2020-04-15,April,2020,Q2,Wednesday,0,15
2020-04-16,April,2020,Q2,Thursday,0,16
2020-04-17,April,2020,Q2,Friday,0,17
2020-04-18,April,2020,Q2,Saturday,0,18
2020-04-19,April,2020,Q2,Sunday,0,19
2020-04-20,April,2020,Q2,Monday,0,20
2020-04-21,April,2020,Q2,Tuesday,1,21
2020-04-22,April,2020,Q2,Wednesday,0,22
2020-04-23,April,2020,Q2,Thursday,0,23
2020-04-24,April,2020,Q2,Friday,0,24
2020-04-25,April,2020,Q2,Saturday,0,25
2020-04-26,April,2020,Q2,Sunday,0,26
2020-04-27,April,2020,Q2,Monday,0,27
2020-04-28,April,2020,Q2,Tuesday,0,28
2020-04-29,April,2020,Q2,Wednesday,0,29
2020-04-30,April,2020,Q2,Thursday,0,30
2020-05-01,May,2020,Q2,Friday,1,1
2020-05-02,May,2020,Q2,Saturday,0,2
2020-05-03,May,2020,Q2,Sunday,0,3
2020-05-04,May,2020,Q2,Monday,0,4
2020-05-05,May,2020,Q2,Tuesday,0,5
2020-05-06,May,2020,Q2,Wednesday,0,6
2020-05-07,May,2020,Q2,Thursday,0,7
2020-05-08,May,2020,Q2,Friday,0,8
2020-05-09,May,2020,Q2,Saturday,0,9
2020-05-10,May,2020,Q2,Sunday,0,10
2020-05-11,May,2020,Q2,Monday,0,11
2020-05-12,May,2020,Q2,Tuesday,0,12
2020-05-13,May,2020,Q2,Wednesday,0,13
2020-05-14,May,2020,Q2,Thursday,0,14
2020-05-15,May,2020,Q2,Friday,0,15
2020-05-16,May,2020,Q2,Saturday,0,16
2020-05-17,May,2020,Q2,Sunday,0,17
2020-05-18,May,2020,Q2,Monday,0,18
2020-05-19,May,2020,Q2,Tuesday,0,19
2020-05-20,May,2020,Q2,Wednesday,0,20
2020-05-21,May,2020,Q2,Thursday,0,21
2020-05-22,May,2020,Q2,Friday,0,22
2020-05-23,May,2020,Q2,Saturday,0,23
2020-05-24,May,2020,Q2,Sunday,0,24
2020-05-25,May,2020,Q2,Monday,0,25
2020-05-26,May,2020,Q2,Tuesday,0,26
2020-05-27,May,2020,Q2,Wednesday,0,27
2020-05-28,May,2020,Q2,Thursday,0,28
2020-05-29,May,2020,Q2,Friday,0,29
2020-05-30,May,2020,Q2,Saturday,0,30
2020-05-31,May,2020,Q2,Sunday,0,31
2020-06-01,June,2020,Q2,Monday,0,1
2020-06-02,June,2020,Q2,Tuesday,1,2
2020-06-03,June,2020,Q2,Wednesday,0,3
2020-06-04,June,2020,Q2,Thursday,0,4
2020-06-05,June,2020,Q2,Friday,0,5
2020-06-06,June,2020,Q2,Saturday,0,6
2020-06-07,June,2020,Q2,Sunday,0,7
2020-06-08,June,2020,Q2,Monday,0,8
2020-06-09,June,2020,Q2,Tuesday,0,9
2020-06-10,June,2020,Q2,Wednesday,0,10
2020-06-11,June,2020,Q2,Thursday,0,11
2020-06-12,June,2020,Q2,Friday,0,12
2020-06-13,June,2020,Q2,Saturday,0,13
2020-06-14,June,2020,Q2,Sunday,0,14
2020-06-15,June,2020,Q2,Monday,0,15
2020-06-16,June,2020,Q2,Tuesday,0,16
2020-06-17,June,2020,Q2,Wednesday,0,17
2020-06-18,June,2020,Q2,Thursday,0,18
2020-06-19,June,2020,Q2,Friday,0,19
2020-06-20,June,2020,Q2,Saturday,0,20
2020-06-21,June,2020,Q2,Sunday,0,21
2020-06-22,June,2020,Q2,Monday,0,22
2020-06-23,June,2020,Q2,Tuesday,0,23
2020-06-24,June,2020,Q2,Wednesday,0,24
2020-06-25,June,2020,Q2,Thursday,0,25
2020-06-26,June,2020,Q2,Friday,0,26
2020-06-27,June,2020,Q2,Saturday,0,27
2020-06-28,June,2020,Q2,Sunday,0,28
2020-06-29,June,2020,Q2,Monday,0,29
2020-06-30,June,2020,Q2,Tuesday,0,30
2020-07-01,July,2020,Q3,Wednesday,0,1
2020-07-02,July,2020,Q3,Thursday,0,2
2020-07-03,July,2020,Q3,Friday,0,3
2020-07-04,July,2020,Q3,Saturday,0,4
2020-07-05,July,2020,Q3,Sunday,0,5
2020-07-06,July,2020,Q3,Monday,0,6
2020-07-07,July,2020,Q3,Tuesday,0,7
2020-07-08,July,2020,Q3,Wednesday,0,8
2020-07-09,July,2020,Q3,Thursday,0,9
2020-07-10,July,2020,Q3,Friday,0,10
