TicketID,CreatedDate,ClosedDate,AgencyName,ComplaintType,Status,Latitude,Longitude,ZipCode,ResolutionDays,ReopenCount,SeverityScore,SentimentScore,CostEstimate,PopulationDensity,SLAStatus,SLA_Compliant,Year,Month,Quarter
TG-10031,2019-06-19,,TSRTC,Bus Route Irregularity,Pending,17.868161,78.441752,505172,20,1,3.87,-0.348,3567.17,1273.2,Breached,Open,2019,June,2
TG-10032,2019-03-31,2019-04-18,Forest Department,Deforestation Complaint,Closed,17.214621,80.500187,500018,18,0,7.85,-0.149,38261.68,16337.3,Within SLA,Late,2019,March,1
TG-10033,2019-04-20,2019-05-10,Food & Civil Supplies,Ration Card Issue,Closed,16.817516,81.198399,503309,20,1,5.53,-0.433,17305.24,1794.1,Breached,Late,2019,April,2
TG-10034,2019-01-13,2019-01-30,GHMC,Streetlight Not Working,Closed,18.641202,78.016628,500008,17,2,3.14,-0.506,7510.84,8728.3,Breached,Late,2019,January,1
TG-10035,2019-12-19,2020-01-08,Food & Civil Supplies,Food Adulteration,Closed,18.07947,79.541104,505468,20,2,7.02,-0.263,119525.41,2510.3,Breached,Late,2019,December,4
TG-10036,2019-12-08,,TSRTC,Bus Route Irregularity,Open,18.583018,80.220951,509001,9,0,3.59,-0.107,5736.81,1720.1,Within SLA,Open,2019,December,4
TG-10037,2019-09-01,2019-09-22,GHMC,Footpath Encroachment,Closed,16.763443,78.400058,500010,21,1,4.35,-0.264,8215.2,7573.9,Breached,Late,2019,September,3
TG-10038,2019-03-19,2019-03-25,GHMC,Footpath Encroachment,Closed,17.624997,79.156882,501512,6,0,3.69,-0.262,8832.11,4283.7,Within SLA,Late,2019,March,1
TG-10039,2019-12-23,2020-01-07,Public Health,Mosquito Breeding,Closed,19.741663,78.959889,500018,15,0,5.06,-0.021,49134.33,15534.8,Breached,Late,2019,December,4
TG-10040,2019-09-07,,Labour Department,Labour Wage Dispute,Open,19.213684,80.241562,506101,14,0,6.66,0.11,53853.35,1922.1,Within SLA,Open,2019,September,3
TG-10041,2019-07-21,2019-07-22,TSNPDCL,Electricity Meter Tampering,Closed,17.788953,78.088973,508207,1,0,6.78,-0.001,17916.18,1084.9,Within SLA,Late,2019,July,3
TG-10042,2019-08-04,,Revenue Department,Encroachment of Public Land,Pending,19.736527,78.141733,500035,32,0,5.76,-0.427,15312.12,7494.1,Breached,Open,2019,August,3
TG-10043,2019-04-13,,Transport Department,Vehicle Registration Delay,Pending,18.878181,80.420972,500001,19,0,4.52,0.013,2961.28,13639.7,Breached,Open,2019,April,2
TG-10044,2019-03-25,2019-03-26,Panchayati Raj,Rural Road Damage,Closed,19.587289,78.776289,500034,1,0,7.89,0.418,57336.72,17288.9,Within SLA,Late,2019,March,1
TG-10045,2019-11-18,2019-11-21,GHMC,Garbage Not Collected,Closed,19.16096,78.658256,504208,3,0,3.97,0.339,17634.1,313.4,Within SLA,Late,2019,November,4
TG-10046,2019-01-07,2019-01-16,GHMC,Garbage Not Collected,Closed,18.063114,77.842563,500076,9,0,6.4,-0.628,26301.89,5854.2,Breached,Late,2019,January,1
TG-10047,2019-10-03,2019-10-17,Panchayati Raj,Rural Road Damage,Closed,16.794654,80.902851,500033,14,0,7.32,0.072,69616.37,16517.1,Within SLA,Late,2019,October,4
TG-10048,2019-06-22,2019-06-27,TSSPDCL,Transformer Fault,Closed,17.450839,79.703851,500028,5,0,6.09,-0.535,27243.62,11548.2,Breached,Late,2019,June,2
TG-10049,2019-02-13,,Roads & Buildings,Pothole on Road,Pending,19.195972,77.590824,508202,20,0,5.97,-0.276,38919.79,1398.0,Breached,Open,2019,February,1
TG-10050,2019-08-31,2019-09-24,Revenue Department,Encroachment of Public Land,Closed,18.042734,78.487817,500004,24,0,6.66,-0.359,35270.91,13503.9,Within SLA,Late,2019,August,3
TG-10051,2019-12-20,2019-12-28,Police Department,Noise Pollution,Closed,19.833736,80.697039,500004,8,0,2.56,0.034,3034.9,15602.1,Within SLA,Late,2019,December,4
TG-10052,2019-10-01,2019-10-02,HMWS&SB,Sewage Overflow,Closed,16.92935,80.847537,501512,1,0,7.38,0.495,125854.93,6320.2,Within SLA,Late,2019,October,4
TG-10053,2019-08-14,2019-08-20,TSSPDCL,Transformer Fault,Closed,18.640115,77.425158,501401,6,2,7.02,-0.852,20020.5,6104.6,Breached,Late,2019,August,3
TG-10054,2019-05-08,2019-06-11,Panchayati Raj,Rural Road Damage,Closed,17.793285,81.015718,500034,34,1,5.36,-0.222,48379.91,14184.2,Breached,Late,2019,May,2
TG-10055,2019-11-09,2019-12-04,Revenue Department,Encroachment of Public Land,Closed,17.090966,77.515272,500035,25,0,7.88,0.154,28226.97,6962.6,Within SLA,Late,2019,November,4
TG-10056,2019-01-17,2019-02-01,Forest Department,Deforestation Complaint,Closed,17.399486,80.523241,500028,15,0,6.69,0.299,28460.13,8711.8,Within SLA,Late,2019,January,1
TG-10057,2019-11-28,2019-11-30,Food & Civil Supplies,Food Adulteration,Closed,18.435304,78.412164,502319,2,0,7.45,0.263,133960.23,1269.0,Within SLA,Late,2019,November,4
TG-10058,2019-09-14,,Agriculture Department,Crop Damage Compensation,Pending,17.595893,78.251545,500008,34,0,7.62,-0.222,45734.11,8398.6,Breached,Open,2019,September,3
TG-10059,2019-12-11,2019-12-12,TSSPDCL,Transformer Fault,Closed,18.490121,79.866096,500034,1,0,8.46,-0.328,32123.5,17160.7,Within SLA,Late,2019,December,4
TG-10060,2019-06-14,2019-06-27,Food & Civil Supplies,Ration Card Issue,Closed,17.861538,80.394099,500047,13,0,6.01,-0.22,19744.66,6720.5,Breached,Late,2019,June,2
TG-10061,2019-07-26,2019-08-11,Police Department,Noise Pollution,Closed,19.071907,79.826717,500002,16,1,4.59,-0.599,3931.29,9875.8,Breached,Late,2019,July,3
TG-10062,2019-05-28,2019-06-01,HMDA,Illegal Construction,Closed,19.217667,80.181088,506001,4,0,7.31,0.018,56610.07,698.2,Within SLA,Late,2019,May,2
TG-10063,2019-02-28,2019-03-07,GHMC,Drainage Blockage,Closed,17.912667,79.226498,501218,7,0,6.38,0.495,53640.63,4751.2,Within SLA,Late,2019,February,1
TG-10064,2019-11-03,2019-11-24,GHMC,Drainage Blockage,Closed,17.655576,80.508413,500010,21,0,6.52,0.274,63366.76,8522.4,Breached,Late,2019,November,4
TG-10065,2019-10-28,2019-11-25,Revenue Department,Encroachment of Public Land,Closed,18.347662,79.112447,501218,28,0,6.74,0.322,47563.33,5070.7,Within SLA,Late,2019,October,4
TG-10066,2019-07-16,2019-07-20,TSNPDCL,Electricity Meter Tampering,Closed,17.796186,81.351339,500070,4,0,5.7,-0.0,58357.66,5837.9,Breached,Late,2019,July,3
TG-10067,2019-01-19,2019-01-25,TSNPDCL,Electricity Meter Tampering,Closed,18.956309,78.92191,507303,6,2,5.38,-0.073,33468.8,1457.1,Breached,Late,2019,January,1
TG-10068,2019-05-16,,GHMC,Garbage Not Collected,Open,18.792815,79.441214,503185,6,0,4.35,-0.13,9060.34,568.7,Within SLA,Open,2019,May,2
TG-10069,2019-10-05,2019-10-15,Agriculture Department,Crop Damage Compensation,Closed,18.654743,80.864833,504251,10,0,6.11,0.597,18735.09,735.9,Within SLA,Late,2019,October,4
TG-10070,2019-01-29,2019-01-31,GHMC,Footpath Encroachment,Closed,18.818121,77.956239,500039,2,0,3.88,0.092,9247.54,5087.3,Within SLA,Late,2019,January,1
TG-10071,2019-05-04,2019-05-12,Water Resources,Borewell Water Contamination,Closed,19.235752,80.98508,500034,8,0,8.49,-0.123,39641.12,10553.3,Within SLA,Late,2019,May,2
TG-10072,2019-10-28,,GHMC,Garbage Not Collected,Pending,19.89787,80.784009,505327,13,1,4.2,-0.244,8348.08,1642.1,Breached,Open,2019,October,4
TG-10073,2019-12-25,2020-01-03,TSSPDCL,Transformer Fault,Closed,19.596098,80.329723,500018,9,0,6.89,0.3,74189.49,15783.1,Breached,Late,2019,December,4
TG-10074,2019-06-30,2019-07-05,Transport Department,Vehicle Registration Delay,Closed,18.741217,80.721016,508213,5,0,2.66,0.131,3615.74,1452.2,Within SLA,Late,2019,June,2
TG-10075,2019-08-14,2019-08-16,HMWS&SB,Water Pipeline Leakage,Closed,16.949343,79.465513,503321,2,0,6.1,0.312,22848.36,1969.7,Within SLA,Late,2019,August,3
TG-10076,2019-03-26,2019-05-26,Revenue Department,Property Tax Dispute,Closed,19.234391,79.166992,502313,61,3,3.77,-0.165,15206.03,801.7,Breached,Late,2019,March,1
TG-10077,2019-07-23,2019-09-06,Water Resources,Borewell Water Contamination,Closed,19.046639,78.301078,500004,45,0,9.9,-0.485,110231.96,9235.9,Breached,Late,2019,July,3
TG-10078,2019-01-13,2019-01-24,HMWS&SB,Water Supply Disruption,Closed,19.301108,81.019428,501512,11,2,8.48,-0.155,47809.45,4328.2,Breached,Late,2019,January,1
TG-10079,2019-01-20,2019-01-21,HMWS&SB,Water Supply Disruption,Closed,19.727895,80.125233,500035,1,0,7.22,0.136,80706.66,5331.9,Within SLA,Late,2019,January,1
TG-10080,2019-08-01,2019-09-05,Education Department,School Infrastructure Issue,Closed,17.759802,79.062209,502286,35,0,5.96,0.071,6065.96,2878.8,Breached,Late,2019,August,3
TG-10081,2019-10-06,2019-10-07,HMWS&SB,Water Supply Disruption,Closed,18.046039,79.983629,504106,1,0,9.61,-0.056,189937.78,314.9,Within SLA,Late,2019,October,4
TG-10082,2019-06-20,2019-06-23,TSNPDCL,Electricity Meter Tampering,Closed,18.384306,79.662809,503187,3,0,5.73,0.216,54448.73,830.9,Within SLA,Late,2019,June,2
TG-10083,2019-11-02,2019-11-22,Police Department,Noise Pollution,Closed,16.948131,78.704618,507101,20,3,2.01,-0.82,3141.68,541.8,Breached,Late,2019,November,4
TG-10084,2019-01-27,2019-01-29,Police Department,Noise Pollution,Closed,19.145258,79.355599,507123,2,0,2.38,-0.034,2419.85,1940.5,Within SLA,Late,2019,January,1
TG-10085,2019-12-04,2019-12-05,GHMC,Streetlight Not Working,Closed,18.166914,81.020743,500033,1,0,4.56,0.418,15366.98,12016.2,Within SLA,Late,2019,December,4
TG-10086,2019-03-06,2019-03-15,Police Department,Noise Pollution,Closed,18.531132,78.438571,500002,9,0,2.83,0.228,2499.64,15121.5,Within SLA,Late,2019,March,1
TG-10087,2019-12-02,2019-12-11,HMWS&SB,Water Supply Disruption,Closed,18.980683,78.512703,500014,9,0,8.6,-0.063,100423.43,8878.2,Breached,Late,2019,December,4
TG-10088,2019-08-31,2019-09-07,Public Health,Mosquito Breeding,Closed,16.942393,77.45192,500074,7,0,5.2,-0.5,28492.32,7467.5,Breached,Late,2019,August,3
TG-10089,2019-07-01,2019-07-30,Police Department,Noise Pollution,Closed,18.464923,78.093503,502313,29,2,4.62,-0.443,3891.45,1320.7,Breached,Late,2019,July,3
TG-10090,2019-10-12,2019-12-09,Water Resources,Borewell Water Contamination,Closed,19.109271,79.81124,505327,58,0,8.1,-1.0,118238.8,1572.8,Breached,Late,2019,October,4
TG-10091,2019-12-22,,Roads & Buildings,Pothole on Road,Pending,16.987055,79.960847,505325,16,0,6.07,-0.247,23043.96,1377.6,Breached,Open,2019,December,4
TG-10092,2019-07-12,2019-07-15,GHMC,Garbage Not Collected,Closed,19.700785,79.70414,500001,3,0,4.68,-0.575,9677.2,11116.4,Within SLA,Late,2019,July,3
TG-10093,2019-12-12,2019-12-16,HMWS&SB,Sewage Overflow,Closed,16.88698,79.005637,509103,4,0,7.24,-0.223,130964.19,637.1,Within SLA,Late,2019,December,4
TG-10094,2019-04-23,2019-04-24,Revenue Department,Property Tax Dispute,Closed,19.108988,80.409476,500035,1,0,4.19,0.129,18030.27,4226.5,Within SLA,Late,2019,April,2
TG-10095,2019-03-31,2019-04-04,Roads & Buildings,Pothole on Road,Closed,19.429999,77.377669,501301,4,0,5.52,-0.468,15645.14,7837.2,Within SLA,Late,2019,March,1
TG-10096,2019-10-21,2019-10-31,Water Resources,Borewell Water Contamination,Closed,17.604212,80.565553,500002,10,0,8.21,0.099,40027.18,9151.7,Within SLA,Late,2019,October,4
TG-10097,2019-02-24,2019-03-01,Public Health,Hospital Staff Misconduct,Closed,19.149001,77.520793,503321,5,0,6.73,0.634,27928.38,1966.2,Within SLA,Late,2019,February,1
TG-10098,2019-06-28,,Revenue Department,Property Tax Dispute,Pending,16.99791,78.028542,503187,60,1,4.05,-0.012,7089.8,2111.6,Breached,Open,2019,June,2
TG-10099,2019-11-18,,GHMC,Garbage Not Collected,Pending,19.801308,78.527783,503321,14,1,4.98,0.018,10276.48,2471.7,Breached,Open,2019,November,4
TG-10100,2019-05-21,2019-05-23,TSRTC,Bus Route Irregularity,Closed,16.693426,80.693126,500010,2,0,3.77,-0.191,3704.7,5517.7,Within SLA,Late,2019,May,2
TG-10101,2019-08-25,2019-10-02,Roads & Buildings,Road Cave-in,Closed,18.117139,77.833617,500002,38,2,9.16,-0.82,94233.33,14518.4,Breached,Late,2019,August,3
TG-10102,2019-02-13,,Labour Department,Labour Wage Dispute,Open,18.281833,79.761183,500002,6,0,7.51,0.27,82014.28,15076.2,Within SLA,Open,2019,February,1
TG-10103,2019-12-14,2019-12-25,Public Health,Mosquito Breeding,Closed,18.732318,81.006639,500074,11,0,6.79,0.075,58182.53,4704.9,Breached,Late,2019,December,4
TG-10104,2019-06-29,2019-07-05,GHMC,Garbage Not Collected,Closed,19.689207,78.500244,508213,6,0,4.24,0.353,12898.71,966.3,Within SLA,Late,2019,June,2
TG-10105,2019-12-17,2019-12-31,Labour Department,Labour Wage Dispute,Closed,17.66189,80.417856,501512,14,0,8.74,0.043,92384.33,4853.2,Within SLA,Late,2019,December,4
TG-10106,2019-02-21,2019-02-26,HMWS&SB,Sewage Overflow,Closed,19.105446,77.750406,500003,5,0,8.52,0.097,89986.18,8377.5,Within SLA,Late,2019,February,1
TG-10107,2019-11-16,2019-11-20,HMWS&SB,Sewage Overflow,Closed,18.576024,80.360043,500058,4,0,9.43,0.375,207012.97,7317.5,Within SLA,Late,2019,November,4
TG-10108,2019-08-29,2019-09-20,Revenue Department,Property Tax Dispute,Closed,18.069712,78.383441,507101,22,0,5.71,0.177,25375.14,2383.7,Within SLA,Late,2019,August,3
TG-10109,2019-11-06,,Panchayati Raj,Rural Road Damage,Open,18.254092,77.723647,500035,5,0,5.42,-0.187,45854.98,8605.8,Within SLA,Open,2019,November,4
TG-10110,2019-03-17,,HMDA,Illegal Construction,Pending,17.688589,77.312015,500003,23,2,8.49,-0.265,52382.67,10220.4,Breached,Open,2019,March,1
TG-10111,2019-02-11,2019-02-12,Public Health,Mosquito Breeding,Closed,17.47539,80.684999,500033,1,0,6.12,0.331,20874.56,15913.8,Within SLA,Late,2019,February,1
TG-10112,2019-11-12,2019-11-17,Transport Department,Vehicle Registration Delay,Closed,19.696768,79.757296,505327,5,0,2.02,-0.268,1129.84,1039.1,Within SLA,Late,2019,November,4
TG-10113,2019-05-03,2019-05-18,GHMC,Streetlight Not Working,Closed,18.455161,80.217886,500039,15,0,4.26,-0.117,13525.66,6984.3,Breached,Late,2019,May,2
TG-10114,2019-08-02,2019-08-11,Roads & Buildings,Road Cave-in,Closed,18.288602,79.330776,501218,9,0,8.37,-0.202,47861.57,8847.9,Within SLA,Late,2019,August,3
TG-10115,2019-01-23,,Roads & Buildings,Pothole on Road,Open,18.636074,80.440306,502313,6,0,7.54,0.626,65220.1,886.2,Within SLA,Open,2019,January,1
TG-10116,2019-06-23,2019-06-27,HMWS&SB,Water Supply Disruption,Closed,17.119745,77.766381,506003,4,0,9.25,0.154,121300.44,3934.8,Within SLA,Late,2019,June,2
TG-10117,2019-04-13,2019-04-18,Roads & Buildings,Pothole on Road,Closed,19.061189,78.002634,505468,5,0,8.54,-0.798,37825.04,1857.6,Within SLA,Late,2019,April,2
TG-10118,2019-03-05,2019-03-18,Water Resources,Borewell Water Contamination,Closed,17.814592,81.289639,501218,13,0,9.4,0.013,193672.66,7459.8,Within SLA,Late,2019,March,1
TG-10119,2019-05-17,,Municipal Corporation,Stray Animal Menace,Open,16.772234,79.975861,500010,7,0,6.4,-0.346,13160.71,7045.6,Within SLA,Open,2019,May,2
TG-10120,2019-08-17,2019-08-28,HMWS&SB,Sewage Overflow,Closed,19.191025,77.440904,500035,11,1,7.13,-0.635,114154.49,5609.6,Breached,Late,2019,August,3
TG-10121,2019-12-14,,Municipal Corporation,Stray Animal Menace,Open,19.146952,78.73858,505468,1,0,4.48,-0.308,5116.34,587.0,Within SLA,Open,2019,December,4
TG-10122,2019-07-09,2019-08-11,Roads & Buildings,Road Cave-in,Closed,17.447545,81.234184,501218,33,0,8.74,-0.627,88789.12,5201.7,Breached,Late,2019,July,3
TG-10123,2019-10-15,2019-12-30,Revenue Department,Property Tax Dispute,Closed,16.916967,80.78187,500003,76,0,3.35,-0.054,8938.87,17164.8,Breached,Late,2019,October,4
TG-10124,2019-06-13,,TSNPDCL,Electricity Meter Tampering,Open,19.394631,80.189598,500010,3,0,7.0,0.094,70306.03,7024.1,Within SLA,Open,2019,June,2
TG-10125,2019-04-25,2019-04-27,HMWS&SB,Sewage Overflow,Closed,18.08918,81.32865,504251,2,0,7.36,0.129,108935.31,637.2,Within SLA,Late,2019,April,2
TG-10126,2019-09-03,2019-09-24,GHMC,Garbage Not Collected,Closed,16.752161,79.156499,500002,21,1,5.1,0.049,10410.63,9253.3,Breached,Late,2019,September,3
TG-10127,2019-11-24,,GHMC,Footpath Encroachment,Open,17.020253,77.89156,501301,7,2,4.76,-0.501,6411.62,3860.2,Within SLA,Open,2019,November,4
TG-10128,2019-05-26,,Municipal Corporation,Stray Animal Menace,Pending,18.625076,79.780599,500070,14,0,6.54,-0.029,12347.68,8738.1,Breached,Open,2019,May,2
TG-10129,2019-03-29,2019-04-06,TSSPDCL,Transformer Fault,Closed,19.725059,80.438294,500003,8,0,7.98,-0.223,23259.79,16637.8,Breached,Late,2019,March,1
TG-10130,2019-11-24,2019-12-22,Transport Department,Vehicle Registration Delay,Closed,19.23594,80.076962,500070,28,0,2.09,-0.34,2144.6,8739.9,Breached,Late,2019,November,4
TG-10131,2019-08-01,2019-08-21,Forest Department,Deforestation Complaint,Closed,17.67426,78.87461,501301,20,0,7.45,0.47,81164.81,4915.9,Within SLA,Late,2019,August,3
TG-10132,2019-08-27,2019-08-29,GHMC,Drainage Blockage,Closed,17.806109,79.784585,506101,2,0,5.37,0.568,25528.26,929.2,Within SLA,Late,2019,August,3
TG-10133,2019-06-10,,Labour Department,Labour Wage Dispute,Pending,19.713792,79.322867,500003,26,0,6.57,-0.651,15793.96,11085.4,Breached,Open,2019,June,2
TG-10134,2019-05-25,2019-06-03,TSSPDCL,Transformer Fault,Closed,16.86549,77.762527,502103,9,1,7.48,-0.333,16994.27,785.8,Breached,Late,2019,May,2
TG-10135,2019-07-25,2019-07-31,Transport Department,Vehicle Registration Delay,Closed,17.45105,81.354181,501512,6,0,2.15,-0.011,3053.36,6025.5,Within SLA,Late,2019,July,3
TG-10136,2019-07-11,2019-07-14,HMWS&SB,Water Supply Disruption,Closed,18.231017,79.300327,505001,3,0,9.18,0.062,74202.32,2387.4,Within SLA,Late,2019,July,3
TG-10137,2019-09-23,,Agriculture Department,Crop Damage Compensation,Open,18.596102,80.738928,500003,20,1,7.37,0.543,41699.46,11185.3,Within SLA,Open,2019,September,3
TG-10138,2019-12-29,2019-12-30,TSIIC,Industrial Pollution,Closed,19.831653,79.651549,502286,1,0,8.69,0.634,144501.8,1420.9,Within SLA,Late,2019,December,4
TG-10139,2019-11-02,2019-12-31,Water Resources,Borewell Water Contamination,Closed,18.607102,80.732902,507303,59,1,8.42,-0.371,133225.07,675.1,Breached,Late,2019,November,4
TG-10140,2019-02-26,,Roads & Buildings,Pothole on Road,Pending,17.895283,80.454884,500004,21,0,5.76,-0.691,47672.08,9514.3,Breached,Open,2019,February,1
TG-10141,2019-09-23,2019-10-04,Education Department,School Infrastructure Issue,Closed,18.312632,79.494348,509336,11,0,4.62,-0.189,11803.12,1730.7,Within SLA,Late,2019,September,3
TG-10142,2019-05-16,,Forest Department,Deforestation Complaint,Open,19.701051,81.325493,505209,7,2,7.83,0.14,37793.79,1197.5,Within SLA,Open,2019,May,2
TG-10143,2019-06-12,2019-06-15,TSSPDCL,Power Outage,Closed,19.832546,80.637185,506132,3,0,6.92,0.078,38345.86,2900.5,Within SLA,Late,2019,June,2
TG-10144,2019-02-10,2019-02-19,Revenue Department,Encroachment of Public Land,Closed,19.315036,78.338757,504208,9,0,6.04,0.251,24661.83,1158.9,Within SLA,Late,2019,February,1
TG-10145,2019-10-28,2019-11-02,HMWS&SB,Water Supply Disruption,Closed,18.106173,80.061006,502220,5,0,6.96,0.133,72699.19,750.5,Within SLA,Late,2019,October,4
TG-10146,2019-12-01,2019-12-08,TSNPDCL,Electricity Meter Tampering,Closed,17.470412,77.448483,500033,7,1,7.81,-0.084,36923.78,15559.1,Breached,Late,2019,December,4
TG-10147,2019-01-20,2019-01-21,TSSPDCL,Transformer Fault,Closed,17.13346,80.345813,506132,1,0,8.74,0.175,79831.63,3443.1,Within SLA,Late,2019,January,1
TG-10148,2019-10-18,2019-10-31,GHMC,Footpath Encroachment,Closed,18.179302,81.141954,508213,13,0,4.81,-0.333,13736.79,1981.5,Breached,Late,2019,October,4
TG-10149,2019-06-19,,HMDA,Illegal Construction,Open,18.792964,78.011277,508116,15,1,6.49,0.09,31127.43,873.1,Within SLA,Open,2019,June,2
TG-10150,2019-09-21,,GHMC,Footpath Encroachment,Open,17.600246,78.241798,503321,4,1,3.98,0.05,5596.69,788.0,Within SLA,Open,2019,September,3
TG-10151,2019-06-18,2019-06-29,TSRTC,Bus Route Irregularity,Closed,17.043037,80.081509,500070,11,0,2.91,-0.44,2914.52,7006.7,Breached,Late,2019,June,2
TG-10152,2019-11-24,2019-12-04,Transport Department,Vehicle Registration Delay,Closed,18.125818,79.11091,509336,10,0,4.75,0.27,8028.95,553.4,Within SLA,Late,2019,November,4
TG-10153,2019-08-30,2019-09-20,Food & Civil Supplies,Food Adulteration,Closed,18.018943,80.155818,502319,21,0,9.27,-0.292,55375.88,1784.3,Breached,Late,2019,August,3
